Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,,
2022-05-01,265.54522705078125,271.8699951171875,290.8800048828125,246.44000244140625,277.7099914550781,742902000
2022-06-01,251.43934631347656,256.8299865722656,277.69000244140625,241.50999450683594,275.20001220703125,621372300
2022-07-01,274.8475036621094,280.739990234375,282.0,245.94000244140625,256.3900146484375,534891800
2022-08-01,255.9819793701172,261.4700012207031,294.17999267578125,260.6600036621094,277.82000732421875,477157600
2022-09-01,228.49560546875,232.89999389648438,267.45001220703125,232.72999572753906,258.8699951171875,575586600
2022-10-01,227.7401885986328,232.1300048828125,251.0399932861328,219.1300048828125,235.41000366210938,671225100
2022-11-01,250.31503295898438,255.13999938964844,255.3300018310547,213.42999267578125,234.60000610351562,615296000
2022-12-01,235.9478302001953,239.82000732421875,263.9200134277344,233.8699951171875,253.8699951171875,591358700
2023-01-01,243.80880737304688,247.80999755859375,249.8300018310547,219.35000610351562,243.0800018310547,666168100
2023-02-01,245.392822265625,249.4199981689453,276.760009765625,245.47000122070312,248.0,615501000
2023-03-01,284.3554992675781,288.29998779296875,289.2699890136719,245.61000061035156,250.75999450683594,747635000
2023-04-01,303.0561218261719,307.260009765625,308.92999267578125,275.3699951171875,286.5199890136719,551497100
2023-05-01,323.89703369140625,328.3900146484375,335.94000244140625,303.3999938964844,306.9700012207031,600807200
2023-06-01,336.6150207519531,340.5400085449219,351.4700012207031,322.5,325.92999267578125,547588700
2023-07-01,332.0483093261719,335.9200134277344,366.7799987792969,327.0,339.19000244140625,666764400
2023-08-01,323.98236083984375,327.760009765625,338.5400085449219,311.54998779296875,335.19000244140625,479456700
2023-09-01,312.77154541015625,315.75,340.8599853515625,309.45001220703125,331.30999755859375,416680700
2023-10-01,334.920654296875,338.1099853515625,346.20001220703125,311.2099914550781,316.2799987792969,540907000
2023-11-01,375.3357849121094,378.9100036621094,384.29998779296875,339.6499938964844,339.7900085449219,563880300
2023-12-01,373.2489013671875,376.0400085449219,378.1600036621094,362.8999938964844,376.760009765625,522003700
